player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0036297,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,3.0,0,0.0,0.0,0.0,-1.2948128271382302,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692309
00-0036309,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,5.0,0,0.0,0.0,0.0,-0.7624294410925359,0,31,61,414.0,1,0.0,0.0,630.0,181.0,20.0,-4.804643356433066,0,14.511597852935784,2.0657579272628,3.4676132736024217,5.525966182415894,0.0,47.900000000000006,78.9,14,0.13990825688073394,0.19898926089703095,0.12719606465214336,0.3690537940387257,0.1481746599856836,0.058823529411764705,0.14285714285714285,0.1337579617834395,0.10349909469872415,0.13030443387089985,0.9495412844036697,0.07362409719500587
00-0036309,2024,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,19.0,0.0,0.0,-0.42381819686852396,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,106,992.0,5,0.0,0.0,1294.0,275.0,48.0,43.90698854503186,0,14.252896916658942,3.2891835807764647,5.249289778222666,8.608278215920562,0.0,129.20000000000002,193.20000000000002,16,0.2034548944337812,0.3203763307749443,0.1455796717840127,0.5614834062706273,0.24981113069755728,0.2631578947368421,0.25668449197860965,0.25728155339805825,0.2564845127171997,0.25248048350541424,1.9040307101727447,0.14352147622089828
00-0036313,2023,REG,1,1,28.0,0,0.0,0.0,0.0,0,0,11.0,17.0,1.0,4.209326545824297,0,2.5454545454545454,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.12,1.12,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.02032667876588022
00-0036322,2023,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,20.0,0.0,0.0,-0.39332577056484297,0,0.0,0.0,1,-12.0,0,0.0,0.0,0.0,-1.9716245462186635,0,68,100,1074.0,5,1.0,0.0,1258.0,260.0,51.0,42.82270591843974,0,8.442528883061453,2.8136063871981545,4.111504209164043,7.098462527212062,0.0,136.2,204.2,10,0.25906735751295334,0.38225463384989367,0.22317596566523606,0.694404743349345,0.3660531697341513,0.25,0.3695652173913043,0.35443037974683544,0.3080265848670757,0.34284253578732105,2.7823834196891193,0.2219661724422801
00-0036322,2024,REG,1,1,22.0,0,0.0,0.0,0.0,0,0,-5.0,27.0,1.0,3.050906698219478,0,0.0,0.0,1,3.0,0,0.0,0.0,0.0,-0.2187197848688811,0,103,154,1533.0,10,1.0,0.0,1682.0,487.0,62.0,64.1931116031112,0,16.758234719729547,5.111658104332869,6.462832950458351,12.191470221820147,0.0,214.48000000000002,317.48,17,0.28102189781021897,0.36367567567567566,0.2714604236343367,0.712473387255869,0.35007992692395523,0.2857142857142857,0.29523809523809524,0.2938775510204082,0.3178971063191205,0.33720679868202136,2.7974452554744524,0.2079708625930196
00-0036326,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,21,77.0,1,0.0,0.0,230.0,25.0,4.0,-13.195911553726338,0,1.4738601823708206,0.7654993154993155,0.8830145757684376,1.7663591762868796,0.0,13.7,21.7,7,0.09375,0.14659018483110262,0.033288948069241014,0.2578971478648821,0.05174731182795699,0.1,0.05405405405405406,0.05952380952380952,0.0758736559139785,0.0613978494623656,0.34375,0.04052136241410218
00-0036328,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,65,265.0,1,1.0,1.0,13.0,-6.735830693331081,0,48,59,389.0,2,2.0,1.0,-2.0,377.0,19.0,0.8663656756786651,0,35.35531400966184,1.7279241352517214,-0.05474216462286401,2.5535666876415775,0.0,79.4,127.4,16,0.09983079526226735,-0.00044742729306487697,0.19625195210827695,0.14938825105894912,0.09928534966819806,0.08695652173913043,0.10674157303370786,0.1044776119402985,0.09312093570366425,0.09681958408238454,0.6582064297800339,0.09562267323165606
00-0036328,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,120,538.0,1,2.0,0.0,24.0,-10.650857649656245,0,23,29,206.0,0,0.0,0.0,53.0,213.0,12.0,2.4091973559776187,0,-40.965343915343915,0.9977687684910685,0.17896642527100157,1.621929650426304,0.0,80.4,103.4,17,0.054820415879017016,0.013780551222048881,0.12522045855379188,0.09325506479616463,0.06162129823511816,0.0,0.0718562874251497,0.06486486486486487,0.03081064911755908,0.04929703858809453,0.389413988657845,0.08482919305614807
00-0036329,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,3.0,0,0.0,0.0,1.0,-0.46953138220123947,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003971405877680699
