Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"172","DI","Dontay Corleone","Cincinnati Bearcats","72.6","0.068","","","Not Scored"
"173","S","Dillon Thieneman","Oregon Ducks","91.0","0.576","","","Not Scored"
"174","S","Kamari Ramsey","USC Trojans","72.6","0.123","","","Not Scored"
"175","CB","Chandler Rivers","Duke Blue Devils","77.8","0.209","","","Not Scored"
"176","LB","Taurean York","Texas A&M Aggies","83.0","0.378","","","Not Scored"
"177","CB","Keith Abney II","Arizona State Sun Devils","86.3","0.373","","","Not Scored"
"178","HB","Jadarian Price","Notre Dame Fighting Irish","78.5","0.042","","","Not Scored"
"179","C","Jake Slaughter","Florida Gators","79.8","0.128","","","Not Scored"
"180","LB","CJ Allen","Georgia Bulldogs","76.0","0.033","","","Not Scored"
"181","WR","Skyler Bell","Connecticut Huskies","81.7","0.254","","","Not Scored"
"182","TE","Eli Stowers","Vanderbilt Commodores","81.5","0.223","","","Not Scored"
"183","ED","Derrick Moore","Michigan Wolverines","89.8","0.161","","","Not Scored"
"184","ED","Zion Young","Missouri Tigers","86.3","0.279","","","Not Scored"
"185","WR","CJ Daniels","Miami (FL) Hurricanes","72.6","0.088","","","Not Scored"
"186","T","Carter Smith","Indiana Hoosiers","86.9","0.294","","","Not Scored"
"187","DI","Darrell Jackson Jr.","Florida State Seminoles","74.8","0.065","","","Not Scored"
"188","WR","Omar Cooper Jr.","Indiana Hoosiers","86.9","0.313","","","Not Scored"
"189","CB","D'Angelo Ponds","Indiana Hoosiers","87.7","0.457","","","Not Scored"
"190","WR","Antonio Williams","Clemson Tigers","79.9","0.140","","","Not Scored"
"191","ED","Mikail Kamara","Indiana Hoosiers","74.5","0.113","","","Not Scored"
"192","T","Blake Miller","Clemson Tigers","79.2","0.165","","","Not Scored"
"193","G","Emmanuel Pregnon","Oregon Ducks","86.5","0.272","","","Not Scored"
"194","QB","Garrett Nussmeier","LSU Tigers","77.1","0.069","","","Not Scored"
